Entity,Code,Date,share_doses_used
Alabama,,2021/1/12,0.207
Alabama,,2021/1/13,0.222
Alabama,,2021/1/14,0.212
Alabama,,2021/1/15,0.226
Alabama,,2021/1/19,0.294
Alabama,,2021/1/20,0.288
Alabama,,2021/1/21,0.336
Alabama,,2021/1/22,0.384
Alabama,,2021/1/23,0.425
Alabama,,2021/1/24,0.468
Alabama,,2021/1/25,0.481
Alabama,,2021/1/26,0.448
Alabama,,2021/1/27,0.42
Alabama,,2021/1/28,0.426
Alabama,,2021/1/29,0.456
Alabama,,2021/1/30,0.519
Alabama,,2021/1/31,0.537
Alabama,,2021/2/1,0.543
Alabama,,2021/2/2,0.546
Alabama,,2021/2/3,0.508
Alabama,,2021/2/4,0.511
Alabama,,2021/2/5,0.538
Alabama,,2021/2/6,0.566
Alabama,,2021/2/7,0.575
Alabama,,2021/2/8,0.582
Alabama,,2021/2/9,0.596
Alabama,,2021/2/10,0.599
Alabama,,2021/2/11,0.596
Alaska,,2021/1/12,0.253
Alaska,,2021/1/13,0.259
Alaska,,2021/1/14,0.283
Alaska,,2021/1/15,0.326
Alaska,,2021/1/19,0.441
Alaska,,2021/1/20,0.454
Alaska,,2021/1/21,0.466
Alaska,,2021/1/22,0.522
Alaska,,2021/1/23,0.567
Alaska,,2021/1/24,0.605
Alaska,,2021/1/25,0.623
Alaska,,2021/1/26,0.602
Alaska,,2021/1/27,0.596
Alaska,,2021/1/28,0.594
Alaska,,2021/1/29,0.574
Alaska,,2021/1/30,0.597
Alaska,,2021/1/31,0.619
Alaska,,2021/2/1,0.632
Alaska,,2021/2/2,0.627
Alaska,,2021/2/3,0.547
Alaska,,2021/2/4,0.541
Alaska,,2021/2/5,0.545
Alaska,,2021/2/6,0.56
Alaska,,2021/2/7,0.588
Alaska,,2021/2/8,0.607
Alaska,,2021/2/9,0.595
Alaska,,2021/2/10,0.6
Alaska,,2021/2/11,0.6
American Samoa,ASM,2021/1/12,0.199
American Samoa,ASM,2021/1/13,0.242
American Samoa,ASM,2021/1/14,0.279
American Samoa,ASM,2021/1/15,0.21
American Samoa,ASM,2021/1/19,0.258
American Samoa,ASM,2021/1/20,0.288
American Samoa,ASM,2021/1/21,0.307
American Samoa,ASM,2021/1/22,0.356
American Samoa,ASM,2021/1/23,0.37
American Samoa,ASM,2021/1/24,0.436
American Samoa,ASM,2021/1/25,0.436
American Samoa,ASM,2021/1/26,0.451
American Samoa,ASM,2021/1/27,0.492
American Samoa,ASM,2021/1/28,0.492
American Samoa,ASM,2021/1/29,0.538
American Samoa,ASM,2021/1/30,0.538
American Samoa,ASM,2021/1/31,0.538
American Samoa,ASM,2021/2/1,0.583
American Samoa,ASM,2021/2/2,0.583
American Samoa,ASM,2021/2/3,0.6
American Samoa,ASM,2021/2/4,0.382
American Samoa,ASM,2021/2/5,0.408
American Samoa,ASM,2021/2/6,0.416
American Samoa,ASM,2021/2/7,0.416
American Samoa,ASM,2021/2/8,0.416
American Samoa,ASM,2021/2/9,0.431
American Samoa,ASM,2021/2/10,0.452
American Samoa,ASM,2021/2/11,0.459
Arizona,,2021/1/12,0.251
Arizona,,2021/1/13,0.272
Arizona,,2021/1/14,0.304
Arizona,,2021/1/15,0.345
Arizona,,2021/1/19,0.466
Arizona,,2021/1/20,0.375
Arizona,,2021/1/21,0.381
Arizona,,2021/1/22,0.401
Arizona,,2021/1/23,0.435
Arizona,,2021/1/24,0.471
Arizona,,2021/1/25,0.499
Arizona,,2021/1/26,0.515
Arizona,,2021/1/27,0.463
Arizona,,2021/1/28,0.482
Arizona,,2021/1/29,0.515
Arizona,,2021/1/30,0.55
Arizona,,2021/1/31,0.586
Arizona,,2021/2/1,0.612
Arizona,,2021/2/2,0.584
Arizona,,2021/2/3,0.555
Arizona,,2021/2/4,0.579
Arizona,,2021/2/5,0.607
Arizona,,2021/2/6,0.647
Arizona,,2021/2/7,0.682
Arizona,,2021/2/8,0.709
Arizona,,2021/2/9,0.682
Arizona,,2021/2/10,0.655
Arizona,,2021/2/11,0.677
Arkansas,,2021/1/12,0.149
Arkansas,,2021/1/13,0.319
Arkansas,,2021/1/14,0.364
Arkansas,,2021/1/15,0.397
Arkansas,,2021/1/19,0.478
Arkansas,,2021/1/20,0.518
Arkansas,,2021/1/21,0.479
Arkansas,,2021/1/22,0.557
Arkansas,,2021/1/23,0.547
Arkansas,,2021/1/24,0.581
Arkansas,,2021/1/25,0.6
Arkansas,,2021/1/26,0.599
Arkansas,,2021/1/27,0.622
Arkansas,,2021/1/28,0.558
Arkansas,,2021/1/29,0.595
Arkansas,,2021/1/30,0.636
Arkansas,,2021/1/31,0.67
Arkansas,,2021/2/1,0.686
Arkansas,,2021/2/2,0.672
Arkansas,,2021/2/3,0.646
Arkansas,,2021/2/4,0.654
Arkansas,,2021/2/5,0.656
Arkansas,,2021/2/6,0.694
Arkansas,,2021/2/7,0.729
Arkansas,,2021/2/8,0.744
Arkansas,,2021/2/9,0.696
Arkansas,,2021/2/10,0.718
Arkansas,,2021/2/11,0.726
Bureau of Prisons,,2021/1/12,0.914
Bureau of Prisons,,2021/1/13,0.978
Bureau of Prisons,,2021/1/14,0.98
Bureau of Prisons,,2021/1/15,0.996
Bureau of Prisons,,2021/1/19,1.052
Bureau of Prisons,,2021/1/20,0.771
Bureau of Prisons,,2021/1/21,0.842
Bureau of Prisons,,2021/1/22,0.861
Bureau of Prisons,,2021/1/23,0.943
Bureau of Prisons,,2021/1/24,0.973
Bureau of Prisons,,2021/1/25,0.984
Bureau of Prisons,,2021/1/26,0.849
Bureau of Prisons,,2021/1/27,0.909
Bureau of Prisons,,2021/1/28,0.949
Bureau of Prisons,,2021/1/29,0.99
Bureau of Prisons,,2021/1/30,1.03
Bureau of Prisons,,2021/1/31,1.041
Bureau of Prisons,,2021/2/1,1.041
Bureau of Prisons,,2021/2/2,0.9
Bureau of Prisons,,2021/2/3,0.94
Bureau of Prisons,,2021/2/4,0.988
Bureau of Prisons,,2021/2/5,1.03
Bureau of Prisons,,2021/2/6,1.069
Bureau of Prisons,,2021/2/7,1.089
Bureau of Prisons,,2021/2/8,1.089
Bureau of Prisons,,2021/2/9,0.966
Bureau of Prisons,,2021/2/10,1.006
Bureau of Prisons,,2021/2/11,1.04
California,,2021/1/12,0.248
California,,2021/1/13,0.259
California,,2021/1/14,0.275
California,,2021/1/15,0.302
California,,2021/1/19,0.412
California,,2021/1/20,0.368
California,,2021/1/21,0.373
California,,2021/1/22,0.383
California,,2021/1/23,0.409
California,,2021/1/24,0.448
California,,2021/1/25,0.475
California,,2021/1/26,0.458
California,,2021/1/27,0.473
California,,2021/1/28,0.495
California,,2021/1/29,0.516
California,,2021/1/30,0.546
California,,2021/1/31,0.58
California,,2021/2/1,0.609
California,,2021/2/2,0.625
California,,2021/2/3,0.579
California,,2021/2/4,0.578
California,,2021/2/5,0.579
California,,2021/2/6,0.594
California,,2021/2/7,0.644
California,,2021/2/8,0.672
California,,2021/2/9,0.648
California,,2021/2/10,0.652
California,,2021/2/11,0.656
Colorado,,2021/1/12,0.434
Colorado,,2021/1/13,0.452
Colorado,,2021/1/14,0.479
Colorado,,2021/1/15,0.512
Colorado,,2021/1/19,0.621
Colorado,,2021/1/20,0.539
Colorado,,2021/1/21,0.537
Colorado,,2021/1/22,0.562
Colorado,,2021/1/23,0.545
Colorado,,2021/1/24,0.627
Colorado,,2021/1/25,0.647
Colorado,,2021/1/26,0.63
Colorado,,2021/1/27,0.612
Colorado,,2021/1/28,0.614
Colorado,,2021/1/29,0.642
Colorado,,2021/1/30,0.67
Colorado,,2021/1/31,0.7
Colorado,,2021/2/1,0.725
Colorado,,2021/2/2,0.69
Colorado,,2021/2/3,0.656
Colorado,,2021/2/4,0.65
Colorado,,2021/2/5,0.669
Colorado,,2021/2/6,0.701
Colorado,,2021/2/7,0.736
Colorado,,2021/2/8,0.759
Colorado,,2021/2/9,0.725
Colorado,,2021/2/10,0.709
Colorado,,2021/2/11,0.701
Connecticut,,2021/1/12,0.604
Connecticut,,2021/1/13,0.514
Connecticut,,2021/1/14,0.523
Connecticut,,2021/1/15,0.565
Connecticut,,2021/1/19,0.698
Connecticut,,2021/1/20,0.565
Connecticut,,2021/1/21,0.608
Connecticut,,2021/1/22,0.602
Connecticut,,2021/1/23,0.622
Connecticut,,2021/1/24,0.653
Connecticut,,2021/1/25,0.672
Connecticut,,2021/1/26,0.664
Connecticut,,2021/1/27,0.664
Connecticut,,2021/1/28,0.667
Connecticut,,2021/1/29,0.698
Connecticut,,2021/1/30,0.728
Connecticut,,2021/1/31,0.755
Connecticut,,2021/2/1,0.776
Connecticut,,2021/2/2,0.794
Connecticut,,2021/2/3,0.764
Connecticut,,2021/2/4,0.723
Connecticut,,2021/2/5,0.752
Connecticut,,2021/2/6,0.702
Connecticut,,2021/2/7,0.721
Connecticut,,2021/2/8,0.733
Connecticut,,2021/2/9,0.693
Connecticut,,2021/2/10,0.717
Connecticut,,2021/2/11,0.739
Delaware,,2021/1/12,0.299
Delaware,,2021/1/13,0.311
Delaware,,2021/1/14,0.341
Delaware,,2021/1/15,0.341
Delaware,,2021/1/19,0.466
Delaware,,2021/1/20,0.455
Delaware,,2021/1/21,0.463
Delaware,,2021/1/22,0.466
Delaware,,2021/1/23,0.516
Delaware,,2021/1/24,0.552
Delaware,,2021/1/25,0.575
Delaware,,2021/1/26,0.53
Delaware,,2021/1/27,0.55
Delaware,,2021/1/28,0.58
Delaware,,2021/1/29,0.607
Delaware,,2021/1/30,0.643
Delaware,,2021/1/31,0.695
Delaware,,2021/2/1,0.714
Delaware,,2021/2/2,0.722
Delaware,,2021/2/3,0.695
Delaware,,2021/2/4,0.686
Delaware,,2021/2/5,0.707
Delaware,,2021/2/6,0.733
Delaware,,2021/2/7,0.764
Delaware,,2021/2/8,0.784
Delaware,,2021/2/9,0.785
Delaware,,2021/2/10,0.71
Delaware,,2021/2/11,0.732
Dept of Defense,,2021/1/12,0.371
Dept of Defense,,2021/1/13,0.337
Dept of Defense,,2021/1/14,0.387
Dept of Defense,,2021/1/15,0.397
Dept of Defense,,2021/1/19,0.502
Dept of Defense,,2021/1/20,0.514
Dept of Defense,,2021/1/21,0.477
Dept of Defense,,2021/1/22,0.476
Dept of Defense,,2021/1/23,0.46
Dept of Defense,,2021/1/24,0.497
Dept of Defense,,2021/1/25,0.511
Dept of Defense,,2021/1/26,0.502
Dept of Defense,,2021/1/27,0.476
Dept of Defense,,2021/1/28,0.491
Dept of Defense,,2021/1/29,0.514
Dept of Defense,,2021/1/30,0.551
Dept of Defense,,2021/1/31,0.59
Dept of Defense,,2021/2/1,0.594
Dept of Defense,,2021/2/2,0.608
Dept of Defense,,2021/2/3,0.583
Dept of Defense,,2021/2/4,0.576
Dept of Defense,,2021/2/5,0.595
Dept of Defense,,2021/2/6,0.602
Dept of Defense,,2021/2/7,0.635
Dept of Defense,,2021/2/8,0.647
Dept of Defense,,2021/2/9,0.638
Dept of Defense,,2021/2/10,0.649
Dept of Defense,,2021/2/11,0.655
District of Columbia,,2021/1/12,0.475
District of Columbia,,2021/1/13,0.484
District of Columbia,,2021/1/14,0.537
District of Columbia,,2021/1/15,0.584
District of Columbia,,2021/1/19,0.732
District of Columbia,,2021/1/20,0.688
District of Columbia,,2021/1/21,0.733
District of Columbia,,2021/1/22,0.63
District of Columbia,,2021/1/23,0.657
District of Columbia,,2021/1/24,0.685
District of Columbia,,2021/1/25,0.705
District of Columbia,,2021/1/26,0.663
District of Columbia,,2021/1/27,0.633
District of Columbia,,2021/1/28,0.49
District of Columbia,,2021/1/29,0.494
District of Columbia,,2021/1/30,0.516
District of Columbia,,2021/1/31,0.542
District of Columbia,,2021/2/1,0.556
District of Columbia,,2021/2/2,0.568
District of Columbia,,2021/2/3,0.532
District of Columbia,,2021/2/4,0.571
District of Columbia,,2021/2/5,0.592
District of Columbia,,2021/2/6,0.611
District of Columbia,,2021/2/7,0.634
District of Columbia,,2021/2/8,0.65
District of Columbia,,2021/2/9,0.65
District of Columbia,,2021/2/10,0.604
District of Columbia,,2021/2/11,0.577
Federated States of Micronesia,,2021/1/12,0.043
Federated States of Micronesia,,2021/1/13,0.058
Federated States of Micronesia,,2021/1/14,0.062
Federated States of Micronesia,,2021/1/15,0.071
Federated States of Micronesia,,2021/1/19,0.147
Federated States of Micronesia,,2021/1/20,0.179
Federated States of Micronesia,,2021/1/21,0.213
Federated States of Micronesia,,2021/1/22,0.257
Federated States of Micronesia,,2021/1/23,0.202
Federated States of Micronesia,,2021/1/24,0.202
Federated States of Micronesia,,2021/1/25,0.142
Federated States of Micronesia,,2021/1/26,0.153
Federated States of Micronesia,,2021/1/27,0.167
Federated States of Micronesia,,2021/1/28,0.181
Federated States of Micronesia,,2021/1/29,0.204
Federated States of Micronesia,,2021/1/30,0.204
Federated States of Micronesia,,2021/1/31,0.204
Federated States of Micronesia,,2021/2/1,0.263
Federated States of Micronesia,,2021/2/2,0.295
Federated States of Micronesia,,2021/2/3,0.322
Federated States of Micronesia,,2021/2/4,0.306
Federated States of Micronesia,,2021/2/5,0.32
Federated States of Micronesia,,2021/2/6,0.335
Federated States of Micronesia,,2021/2/7,0.339
Federated States of Micronesia,,2021/2/8,0.34
Federated States of Micronesia,,2021/2/9,0.258
Federated States of Micronesia,,2021/2/10,0.267
Federated States of Micronesia,,2021/2/11,0.279
Florida,,2021/1/12,0.378
Florida,,2021/1/13,0.42
Florida,,2021/1/14,0.393
Florida,,2021/1/15,0.412
Florida,,2021/1/19,0.568
Florida,,2021/1/20,0.487
Florida,,2021/1/21,0.487
Florida,,2021/1/22,0.502
Florida,,2021/1/23,0.512
Florida,,2021/1/24,0.531
Florida,,2021/1/25,0.531
Florida,,2021/1/26,0.509
Florida,,2021/1/27,0.527
Florida,,2021/1/28,0.551
Florida,,2021/1/29,0.558
Florida,,2021/1/30,0.557
Florida,,2021/1/31,0.577
Florida,,2021/2/1,0.59
Florida,,2021/2/2,0.56
Florida,,2021/2/3,0.583
Florida,,2021/2/4,0.608
Florida,,2021/2/5,0.596
Florida,,2021/2/6,0.629
Florida,,2021/2/7,0.688
Florida,,2021/2/8,0.688
Florida,,2021/2/9,0.648
Florida,,2021/2/10,0.666
Florida,,2021/2/11,0.685
Georgia,GEO,2021/1/12,0.177
Georgia,GEO,2021/1/13,0.198
Georgia,GEO,2021/1/14,0.229
Georgia,GEO,2021/1/15,0.229
Georgia,GEO,2021/1/19,0.309
Georgia,GEO,2021/1/20,0.369
Georgia,GEO,2021/1/21,0.39
Georgia,GEO,2021/1/22,0.489
Georgia,GEO,2021/1/23,0.489
Georgia,GEO,2021/1/24,0.489
Georgia,GEO,2021/1/25,0.489
Georgia,GEO,2021/1/26,0.51
Georgia,GEO,2021/1/27,0.505
Georgia,GEO,2021/1/28,0.53
Georgia,GEO,2021/1/29,0.559
Georgia,GEO,2021/1/30,0.591
Georgia,GEO,2021/1/31,0.625
Georgia,GEO,2021/2/1,0.642
Georgia,GEO,2021/2/2,0.604
Georgia,GEO,2021/2/3,0.595
Georgia,GEO,2021/2/4,0.598
Georgia,GEO,2021/2/5,0.623
Georgia,GEO,2021/2/6,0.651
Georgia,GEO,2021/2/7,0.679
Georgia,GEO,2021/2/8,0.692
Georgia,GEO,2021/2/9,0.641
Georgia,GEO,2021/2/10,0.639
Georgia,GEO,2021/2/11,0.631
Guam,GUM,2021/1/12,0.143
Guam,GUM,2021/1/13,0.111
Guam,GUM,2021/1/14,0.111
Guam,GUM,2021/1/15,0.111
Guam,GUM,2021/1/19,0.111
Guam,GUM,2021/1/20,0.111
Guam,GUM,2021/1/21,0.111
Guam,GUM,2021/1/22,0.111
Guam,GUM,2021/1/23,0.111
Guam,GUM,2021/1/24,0.111
Guam,GUM,2021/1/25,0.111
Guam,GUM,2021/1/26,0.505
Guam,GUM,2021/1/27,0.532
Guam,GUM,2021/1/28,0.569
Guam,GUM,2021/1/29,0.62
Guam,GUM,2021/1/30,0.655
Guam,GUM,2021/1/31,0.655
Guam,GUM,2021/2/1,0.684
Guam,GUM,2021/2/2,0.57
Guam,GUM,2021/2/3,0.599
Guam,GUM,2021/2/4,0.508
Guam,GUM,2021/2/5,0.534
Guam,GUM,2021/2/6,0.565
Guam,GUM,2021/2/7,0.576
Guam,GUM,2021/2/8,0.579
Guam,GUM,2021/2/9,0.603
Guam,GUM,2021/2/10,0.632
Guam,GUM,2021/2/11,0.663
Hawaii,,2021/1/12,0.236
Hawaii,,2021/1/13,0.237
Hawaii,,2021/1/14,0.311
Hawaii,,2021/1/15,0.305
Hawaii,,2021/1/19,0.415
Hawaii,,2021/1/20,0.467
Hawaii,,2021/1/21,0.419
Hawaii,,2021/1/22,0.443
Hawaii,,2021/1/23,0.443
Hawaii,,2021/1/24,0.443
Hawaii,,2021/1/25,0.481
Hawaii,,2021/1/26,0.446
Hawaii,,2021/1/27,0.449
Hawaii,,2021/1/28,0.459
Hawaii,,2021/1/29,0.49
Hawaii,,2021/1/30,0.53
Hawaii,,2021/1/31,0.568
Hawaii,,2021/2/1,0.597
Hawaii,,2021/2/2,0.559
Hawaii,,2021/2/3,0.568
Hawaii,,2021/2/4,0.575
Hawaii,,2021/2/5,0.646
Hawaii,,2021/2/6,0.681
Hawaii,,2021/2/7,0.711
Hawaii,,2021/2/8,0.738
Hawaii,,2021/2/9,0.679
Hawaii,,2021/2/10,0.655
Hawaii,,2021/2/11,0.651
Idaho,,2021/1/12,0.244
Idaho,,2021/1/13,0.246
Idaho,,2021/1/14,0.266
Idaho,,2021/1/15,0.291
Idaho,,2021/1/19,0.4
Idaho,,2021/1/20,0.415
Idaho,,2021/1/21,0.412
Idaho,,2021/1/22,0.431
Idaho,,2021/1/23,0.456
Idaho,,2021/1/24,0.481
Idaho,,2021/1/25,0.504
Idaho,,2021/1/26,0.51
Idaho,,2021/1/27,0.477
Idaho,,2021/1/28,0.488
Idaho,,2021/1/29,0.491
Idaho,,2021/1/30,0.518
Idaho,,2021/1/31,0.546
Idaho,,2021/2/1,0.561
Idaho,,2021/2/2,0.584
Idaho,,2021/2/3,0.538
Idaho,,2021/2/4,0.541
Idaho,,2021/2/5,0.608
Idaho,,2021/2/6,0.661
Idaho,,2021/2/7,0.697
Idaho,,2021/2/8,0.734
Idaho,,2021/2/9,0.705
Idaho,,2021/2/10,0.662
Idaho,,2021/2/11,0.669
Illinois,,2021/1/12,0.384
Illinois,,2021/1/13,0.398
Illinois,,2021/1/14,0.421
Illinois,,2021/1/15,0.433
Illinois,,2021/1/19,0.519
Illinois,,2021/1/20,0.494
Illinois,,2021/1/21,0.486
Illinois,,2021/1/22,0.502
Illinois,,2021/1/23,0.462
Illinois,,2021/1/24,0.493
Illinois,,2021/1/25,0.51
Illinois,,2021/1/26,0.476
Illinois,,2021/1/27,0.482
Illinois,,2021/1/28,0.505
Illinois,,2021/1/29,0.533
Illinois,,2021/1/30,0.559
Illinois,,2021/1/31,0.596
Illinois,,2021/2/1,0.622
Illinois,,2021/2/2,0.577
Illinois,,2021/2/3,0.558
Illinois,,2021/2/4,0.574
Illinois,,2021/2/5,0.597
Illinois,,2021/2/6,0.637
Illinois,,2021/2/7,0.671
Illinois,,2021/2/8,0.698
Illinois,,2021/2/9,0.67
Illinois,,2021/2/10,0.662
Illinois,,2021/2/11,0.654
Indian Health Svc,,2021/1/12,0.305
Indian Health Svc,,2021/1/13,0.256
Indian Health Svc,,2021/1/14,0.28
Indian Health Svc,,2021/1/15,0.308
Indian Health Svc,,2021/1/19,0.356
Indian Health Svc,,2021/1/20,0.346
Indian Health Svc,,2021/1/21,0.362
Indian Health Svc,,2021/1/22,0.348
Indian Health Svc,,2021/1/23,0.402
Indian Health Svc,,2021/1/24,0.43
Indian Health Svc,,2021/1/25,0.435
Indian Health Svc,,2021/1/26,0.442
Indian Health Svc,,2021/1/27,0.429
Indian Health Svc,,2021/1/28,0.443
Indian Health Svc,,2021/1/29,0.451
Indian Health Svc,,2021/1/30,0.46
Indian Health Svc,,2021/1/31,0.495
Indian Health Svc,,2021/2/1,0.497
Indian Health Svc,,2021/2/2,0.486
Indian Health Svc,,2021/2/3,0.486
Indian Health Svc,,2021/2/4,0.5
Indian Health Svc,,2021/2/5,0.496
Indian Health Svc,,2021/2/6,0.56
Indian Health Svc,,2021/2/7,0.572
Indian Health Svc,,2021/2/8,0.591
Indian Health Svc,,2021/2/9,0.603
Indian Health Svc,,2021/2/10,0.463
Indian Health Svc,,2021/2/11,0.479
Indiana,,2021/1/12,0.355
Indiana,,2021/1/13,0.365
Indiana,,2021/1/14,0.371
Indiana,,2021/1/15,0.405
Indiana,,2021/1/19,0.521
Indiana,,2021/1/20,0.481
Indiana,,2021/1/21,0.474
Indiana,,2021/1/22,0.493
Indiana,,2021/1/23,0.53
Indiana,,2021/1/24,0.53
Indiana,,2021/1/25,0.584
Indiana,,2021/1/26,0.554
Indiana,,2021/1/27,0.569
Indiana,,2021/1/28,0.597
Indiana,,2021/1/29,0.625
Indiana,,2021/1/30,0.652
Indiana,,2021/1/31,0.652
Indiana,,2021/2/1,0.652
Indiana,,2021/2/2,0.561
Indiana,,2021/2/3,0.576
Indiana,,2021/2/4,0.601
Indiana,,2021/2/5,0.636
Indiana,,2021/2/6,0.67
Indiana,,2021/2/7,0.67
Indiana,,2021/2/8,0.67
Indiana,,2021/2/9,0.631
